,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
1,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,2011,5,Pirates of the Caribbean: On Stranger Tides2011,Pirates of the Caribbean: On Stranger Tides,BV,,,,,-169536125,0.5871014978080857,4,5.0,66000000.0,410600000.0,22911648.3942029
3,2015-05-01,Avengers: Age of Ultron,330600000,459005868,2015,5,Avengers: Age of Ultron2015,Avengers: Age of Ultron,BV,Kevin Feige,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",tt2395427,128405868,1.388402504537205,4,4.767846778874057,66000000.0,410600000.0,22911648.3942029
4,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,2017,12,Star Wars Ep. VIII: The Last Jedi2017,,,,,,,303181382,1.95640814511041,4,4.7283807312826465,66000000.0,410600000.0,22911648.3942029
5,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2015,12,Star Wars Ep. VII: The Force Awakens2015,,,,,,,630662225,3.0609876633986928,4,4.696459663377829,66000000.0,410600000.0,22911648.3942029
6,2018-04-27,Avengers: Infinity War,300000000,678815482,2018,4,Avengers: Infinity War2018,Avengers: Infinity War,BV,,,,,378815482,2.2627182733333333,4,4.679048171793384,66000000.0,410600000.0,22911648.3942029
8,2017-11-17,Justice League,300000000,229024295,2017,11,Justice League2017,Justice League,WB,,,,,-70975705,0.7634143166666667,4,4.679048171793384,66000000.0,410600000.0,22911648.3942029
9,2015-11-06,Spectre,300000000,200074175,2015,11,Spectre2015,Spectre,Sony,,,,,-99925825,0.6669139166666667,4,4.679048171793384,66000000.0,410600000.0,22911648.3942029
10,2012-07-20,The Dark Knight Rises,275000000,448139099,2012,7,The Dark Knight Rises2012,The Dark Knight Rises,WB,Emma Thomas,The Dark Knight Rises,"Action,Thriller",tt1345836,173139099,1.6295967236363635,4,4.606500290191526,66000000.0,410600000.0,22911648.3942029
12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,2018,5,Solo: A Star Wars Story2018,Solo: A Star Wars Story,BV,Kathleen Kennedy,Solo: A Star Wars Story,"Action,Adventure,Fantasy",tt3778644,-61232488,0.7773364072727272,4,4.606500290191526,66000000.0,410600000.0,22911648.3942029
14,2013-07-02,The Lone Ranger,275000000,89302115,2013,7,The Lone Ranger2013,The Lone Ranger,BV,Jerry Bruckheimer,The Lone Ranger,"Action,Adventure,Western",tt1210819,-185697885,0.3247349636363636,4,4.606500290191526,66000000.0,410600000.0,22911648.3942029
15,2012-03-09,John Carter,275000000,73058679,2012,3,John Carter2012,John Carter,BV,Jim Morris,John Carter,"Action,Adventure,Sci-Fi",tt0401729,-201941321,0.26566792363636366,4,4.606500290191526,66000000.0,410600000.0,22911648.3942029
17,2010-11-24,Tangled,260000000,200821936,2010,11,Tangled2010,Tangled,BV,Roy Conli,Tangled,"Adventure,Animation,Comedy",tt0398286,-59178064,0.7723920615384615,4,4.5629715612304125,66000000.0,410600000.0,22911648.3942029
19,2016-05-06,Captain America: Civil War,250000000,408084349,2016,5,Captain America: Civil War2016,Captain America: Civil War,BV,,,,,158084349,1.632337396,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
20,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,2016,3,Batman v Superman: Dawn of Justice2016,Batman v Superman: Dawn of Justice,WB,,,,,80360194,1.321440776,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
21,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,2012,12,The Hobbit: An Unexpected Journey2012,The Hobbit: An Unexpected Journey,WB (NL),Carolynne Cunningham,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",tt0903624,53003568,1.212014272,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
23,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,2013,12,The Hobbit: The Desolation of Smaug2013,The Hobbit: The Desolation of Smaug,WB (NL),Carolynne Cunningham,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",tt1170358,8366855,1.03346742,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
24,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,2014,12,The Hobbit: The Battle of the Five Armies2014,The Hobbit: The Battle of the Five Armies,WB (NL),Carolynne Cunningham,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",tt2310332,5119788,1.020479152,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
25,2017-04-14,The Fate of the Furious,250000000,225764765,2017,4,The Fate of the Furious2017,The Fate of the Furious,Uni.,Michael Fottrell,The Fate of the Furious,"Action,Crime,Thriller",tt4630562,-24235235,0.90305906,4,4.533952408589669,66000000.0,410600000.0,22911648.3942029
28,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,2017,5,Pirates of the Caribbean: Dead Men Tell No Tales2017,Pirates of the Caribbean: Dead Men Tell No Tales,BV,,,,,-57441124,0.7502559826086956,4,4.475914103308184,66000000.0,410600000.0,22911648.3942029
30,2012-05-04,The Avengers,225000000,623279547,2012,5,The Avengers2012,,,Kevin Feige,The Avengers,"Action,Adventure,Sci-Fi",tt0848228,398279547,2.77013132,4,4.4614045269878115,66000000.0,410600000.0,22911648.3942029
32,2013-06-14,Man of Steel,225000000,291045518,2013,6,Man of Steel2013,Man of Steel,WB,Charles Roven,Man of Steel,"Action,Adventure,Sci-Fi",tt0770828,66045518,1.2935356355555556,4,4.4614045269878115,66000000.0,410600000.0,22911648.3942029
34,2012-07-03,The Amazing Spider-Man,220000000,262030663,2012,7,The Amazing Spider-Man2012,The Amazing Spider-Man,Sony,,,,,42030663,1.191048468181818,4,4.44689495066744,66000000.0,410600000.0,22911648.3942029
35,2012-05-18,Battleship,220000000,65233400,2012,5,Battleship2012,Battleship,Uni.,Duncan Henderson,Battleship,"Action,Adventure,Sci-Fi",tt1440129,-154766600,0.2965154545454545,4,4.44689495066744,66000000.0,410600000.0,22911648.3942029
38,2017-06-21,Transformers: The Last Knight,217000000,130168683,2017,6,Transformers: The Last Knight2017,Transformers: The Last Knight,Par.,Ian Bryce,Transformers: The Last Knight,"Action,Adventure,Sci-Fi",tt3371366,-86831317,0.5998556820276497,4,4.438189204875218,66000000.0,410600000.0,22911648.3942029
39,2015-06-12,Jurassic World,215000000,652270625,2015,6,Jurassic World2015,Jurassic World,Uni.,Patrick Crowley,Jurassic World,"Action,Adventure,Sci-Fi",tt0369610,437270625,3.0338168604651163,4,4.432385374347069,66000000.0,410600000.0,22911648.3942029
40,2012-05-25,Men in Black 3,215000000,179020854,2012,5,Men in Black 32012,,,Laurie MacDonald,Men in Black 3,"Action,Adventure,Comedy",tt1409024,-35979146,0.8326551348837209,4,4.432385374347069,66000000.0,410600000.0,22911648.3942029
43,2014-06-27,Transformers: Age of Extinction,210000000,245439076,2014,6,Transformers: Age of Extinction2014,Transformers: Age of Extinction,Par.,Don Murphy,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",tt2109248,35439076,1.1687575047619048,4,4.417875798026698,66000000.0,410600000.0,22911648.3942029
48,2010-05-14,Robin Hood,210000000,105487148,2010,5,Robin Hood2010,Robin Hood,Uni.,Brian Grazer,Robin Hood,"Action,Adventure,Drama",tt0955308,-104512852,0.5023197523809524,4,4.417875798026698,66000000.0,410600000.0,22911648.3942029
51,2018-02-16,Black Panther,200000000,700059566,2018,2,Black Panther2018,Black Panther,BV,Kevin Feige,Black Panther,"Action,Adventure,Sci-Fi",tt1825683,500059566,3.50029783,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
53,2018-06-15,Incredibles 2,200000000,608581744,2018,6,Incredibles 22018,Incredibles 2,BV,Nicole Paradis Grindle,Incredibles 2,"Action,Adventure,Animation",tt3606756,408581744,3.04290872,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
55,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,2016,12,Rogue One: A Star Wars Story2016,Rogue One: A Star Wars Story,BV,,,,,332177324,2.66088662,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
56,2016-06-17,Finding Dory,200000000,486295561,2016,6,Finding Dory2016,Finding Dory,BV,Lindsey Collins,Finding Dory,"Adventure,Animation,Comedy",tt2277860,286295561,2.431477805,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
57,2010-06-18,Toy Story 3,200000000,415004880,2010,6,Toy Story 32010,Toy Story 3,BV,Darla K. Anderson,Toy Story 3,"Adventure,Animation,Comedy",tt0435761,215004880,2.0750244,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
58,2013-05-03,Iron Man 3,200000000,408992272,2013,5,Iron Man 32013,Iron Man 3,BV,,,,,208992272,2.04496136,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
59,2017-05-05,Guardians of the Galaxy Vol 2,200000000,389813101,2017,5,Guardians of the Galaxy Vol 22017,,,,,,,189813101,1.949065505,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
61,2010-03-05,Alice in Wonderland,200000000,334191110,2010,3,Alice in Wonderland2010,,,Lauren Chapman,Alice in Wonderland,"Fantasy,Musical",tt2049386,134191110,1.67095555,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
65,2012-11-08,Skyfall,200000000,304360277,2012,11,Skyfall2012,Skyfall,Sony,Barbara Broccoli,Skyfall,"Action,Adventure,Thriller",tt1074638,104360277,1.521801385,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
66,2013-06-21,Monsters University,200000000,268488329,2013,6,Monsters University2013,Monsters University,BV,Kori Rae,Monsters University,"Adventure,Animation,Comedy",tt1453405,68488329,1.342441645,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
67,2013-03-08,Oz the Great and Powerful,200000000,234770996,2013,3,Oz the Great and Powerful2013,,,Joe Roth,Oz the Great and Powerful,"Adventure,Family,Fantasy",tt1623205,34770996,1.17385498,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
68,2014-05-23,X-Men: Days of Future Past,200000000,233921534,2014,5,X-Men: Days of Future Past2014,X-Men: Days of Future Past,Fox,,,,,33921534,1.16960767,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
69,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,2014,5,The Amazing Spider-Man 22014,The Amazing Spider-Man 2,Sony,,,,,2853933,1.014269665,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
70,2011-06-24,Cars 2,200000000,191450875,2011,6,Cars 22011,Cars 2,BV,Denise Ream,Cars 2,"Adventure,Animation,Comedy",tt1216475,-8549125,0.957254375,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
71,2010-12-17,Tron: Legacy,200000000,172062763,2010,12,Tron: Legacy2010,,,,,,,-27937237,0.860313815,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
73,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,2018,11,Fantastic Beasts: The Crimes of Grindelwald2018,Fantastic Beasts: The Crimes of Grindelwald,WB,David Heyman,Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",tt4123430,-40444099,0.797779505,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
77,2011-06-17,Green Lantern,200000000,116601172,2011,6,Green Lantern2011,Green Lantern,WB,Donald De Line,Green Lantern,"Action,Adventure,Sci-Fi",tt1133985,-83398828,0.58300586,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
78,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,2010,5,Prince of Persia: Sands of Time2010,,,,,,,-109240324,0.45379838,4,4.388856645385955,66000000.0,410600000.0,22911648.3942029
79,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,2011,6,Transformers: Dark of the Moon2011,Transformers: Dark of the Moon,P/DW,Don Murphy,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",tt1399103,157390543,1.8071309897435897,4,4.374347069065584,66000000.0,410600000.0,22911648.3942029
83,2017-06-09,The Mummy,195000000,80101125,2017,6,The Mummy2017,,,,,,,-114898875,0.410775,4,4.374347069065584,66000000.0,410600000.0,22911648.3942029
84,2013-03-01,Jack the Giant Slayer,195000000,65187603,2013,3,Jack the Giant Slayer2013,Jack the Giant Slayer,WB (NL),Ori Marmur,Jack the Giant Slayer,"Adventure,Fantasy",tt1351685,-129812397,0.3342954,4,4.374347069065584,66000000.0,410600000.0,22911648.3942029
85,2015-04-03,Furious 7,190000000,353007020,2015,4,Furious 72015,Furious 7,Uni.,Michael Fottrell,Furious 7,"Action,Crime,Thriller",tt2820852,163007020,1.8579316842105262,4,4.3598374927452115,66000000.0,410600000.0,22911648.3942029
87,2013-05-16,Star Trek Into Darkness,190000000,228778661,2013,5,Star Trek Into Darkness2013,Star Trek Into Darkness,Par.,Bryan Burk,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",tt1408101,38778661,1.2040982157894737,4,4.3598374927452115,66000000.0,410600000.0,22911648.3942029
88,2013-06-21,World War Z,190000000,202359711,2013,6,World War Z2013,World War Z,Par.,,,,,12359711,1.0650511105263158,4,4.3598374927452115,66000000.0,410600000.0,22911648.3942029
89,2013-05-10,The Great Gatsby,190000000,144840419,2013,5,The Great Gatsby2013,,,Catherine Martin,The Great Gatsby,"Drama,Romance",tt1343092,-45159581,0.7623179947368421,4,4.3598374927452115,66000000.0,410600000.0,22911648.3942029
93,2013-07-12,Pacific Rim,190000000,101802906,2013,7,Pacific Rim2013,Pacific Rim,WB,Jon Jashni,Pacific Rim,"Action,Adventure,Sci-Fi",tt1663662,-88197094,0.5358047684210526,4,4.3598374927452115,66000000.0,410600000.0,22911648.3942029
96,2015-11-25,The Good Dinosaur,187500000,123087120,2015,11,The Good Dinosaur2015,The Good Dinosaur,BV,,,,,-64412880,0.65646464,4,4.352582704585026,66000000.0,410600000.0,22911648.3942029
100,2012-06-22,Brave,185000000,237282182,2012,6,Brave2012,Brave,BV,Katherine Sarafian,Brave,"Adventure,Animation,Comedy",tt1217209,52282182,1.2826063891891892,4,4.34532791642484,66000000.0,410600000.0,22911648.3942029
101,2017-03-10,Kong: Skull Island,185000000,168052812,2017,3,Kong: Skull Island2017,Kong: Skull Island,WB,,,,,-16947188,0.9083935783783784,4,4.34532791642484,66000000.0,410600000.0,22911648.3942029
102,2016-07-22,Star Trek Beyond,185000000,158848340,2016,7,Star Trek Beyond2016,Star Trek Beyond,Par.,,,,,-26151660,0.8586396756756757,4,4.34532791642484,66000000.0,410600000.0,22911648.3942029
103,2017-10-06,Blade Runner 2049,185000000,92054159,2017,10,Blade Runner 20492017,Blade Runner 2049,WB,Andrew A. Kosove,Blade Runner 2049,"Drama,Mystery,Sci-Fi",tt1856101,-92945841,0.49759004864864864,4,4.34532791642484,66000000.0,410600000.0,22911648.3942029
107,2017-11-03,Thor: Ragnarok,180000000,315058289,2017,11,Thor: Ragnarok2017,Thor: Ragnarok,BV,,,,,135058289,1.7503238277777777,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
109,2014-05-30,Maleficent,180000000,241407328,2014,5,Maleficent2014,Maleficent,BV,,,,,61407328,1.3411518222222223,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
110,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,2016,11,Fantastic Beasts and Where to Find Them2016,,,David Heyman,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",tt3183660,54037575,1.30020875,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
115,2016-07-01,The Legend of Tarzan,180000000,126643061,2016,7,The Legend of Tarzan2016,The Legend of Tarzan,WB,Tony Ludwig,The Legend of Tarzan,"Action,Adventure,Drama",tt0918940,-53356939,0.7035725611111111,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
117,2011-11-23,Hugo,180000000,73864507,2011,11,Hugo2011,Hugo,Par.,Graham King,Hugo,"Adventure,Drama,Family",tt0970179,-106135493,0.4103583722222222,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
120,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,2017,7,Valerian and the City of a Thousand Planets2017,Valerian and the City of a Thousand Planets,STX,Virginie Besson-Silla,Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy",tt2239822,-139520630,0.2248853888888889,4,4.330818340104469,66000000.0,410600000.0,22911648.3942029
121,2015-02-06,Jupiter Ascending,179000000,47482519,2015,2,Jupiter Ascending2015,Jupiter Ascending,WB,Grant Hill,Jupiter Ascending,"Action,Adventure,Sci-Fi",tt1617661,-131517481,0.265265469273743,4,4.327916424840395,66000000.0,410600000.0,22911648.3942029
122,2018-07-27,Mission: Impossible - Fallout,178000000,220159104,2018,7,Mission: ImpossibleâFallout2018,,,,,,,42159104,1.2368488988764046,4,4.32501450957632,66000000.0,410600000.0,22911648.3942029
123,2016-05-27,X-Men: Apocalypse,178000000,155442489,2016,5,X-Men: Apocalypse2016,X-Men: Apocalypse,Fox,,,,,-22557511,0.8732724101123596,4,4.32501450957632,66000000.0,410600000.0,22911648.3942029
124,2018-08-10,The Meg,178000000,145443742,2018,8,The Meg2018,The Meg,WB,Belle Avery,The Meg,"Action,Horror,Sci-Fi",tt4779682,-32556258,0.8170996741573033,4,4.32501450957632,66000000.0,410600000.0,22911648.3942029
125,2014-06-06,Edge of Tomorrow,178000000,100206256,2014,6,Edge of Tomorrow2014,Edge of Tomorrow,WB,Jason Hoffs,Edge of Tomorrow,"Action,Sci-Fi",tt1631867,-77793744,0.5629564943820224,4,4.32501450957632,66000000.0,410600000.0,22911648.3942029
127,2016-04-15,The Jungle Book,175000000,364001123,2016,4,The Jungle Book2016,,,Brigham Taylor,The Jungle Book,"Adventure,Drama,Family",tt3040964,189001123,2.080006417142857,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
128,2015-06-19,Inside Out,175000000,356461711,2015,6,Inside Out2015,Inside Out,BV,,,,,181461711,2.036924062857143,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
129,2017-07-07,Spider-Man: Homecoming,175000000,334201140,2017,7,Spider-Man: Homecoming2017,Spider-Man: Homecoming,Sony,,,,,159201140,1.9097208,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
130,2016-08-05,Suicide Squad,175000000,325100054,2016,8,Suicide Squad2016,Suicide Squad,WB,Charles Roven,Suicide Squad,"Action,Adventure,Fantasy",tt1386697,150100054,1.8577145942857143,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
133,2017-11-22,Coco,175000000,209726015,2017,11,Coco2017,Coco,BV,Darla K. Anderson,Coco,"Adventure,Animation,Comedy",tt2380307,34726015,1.1984343714285715,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
134,2018-11-21,Ralph Breaks The Internet,175000000,201091711,2018,11,Ralph Breaks The Internet2018,,,,,,,26091711,1.1490954914285714,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
136,2017-06-16,Cars 3,175000000,152901115,2017,6,Cars 32017,Cars 3,BV,,,,,-22098885,0.8737206571428572,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
142,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,2017,5,King Arthur: Legend of the Sword2017,King Arthur: Legend of the Sword,WB,Akiva Goldsman,King Arthur: Legend of the Sword,"Action,Adventure,Drama",tt1972591,-135824934,0.22385752,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
144,2013-12-25,47 Ronin,175000000,38362475,2013,12,47 Ronin2013,47 Ronin,Uni.,Eric McLeod,47 Ronin,"Action,Adventure,Drama",tt1335975,-136637525,0.21921414285714286,4,4.316308763784098,66000000.0,410600000.0,22911648.3942029
146,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,2018,6,Jurassic World: Fallen Kingdom2018,Jurassic World: Fallen Kingdom,Uni.,Patrick Crowley,Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",tt4881806,247719760,2.4571750588235295,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
148,2014-08-01,Guardians of the Galaxy,170000000,333172112,2014,8,Guardians of the Galaxy2014,Guardians of the Galaxy,BV,,,,,163172112,1.9598359529411764,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
149,2010-05-07,Iron Man 2,170000000,312433331,2010,5,Iron Man 22010,Iron Man 2,Par.,,,,,142433331,1.8378431235294117,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
150,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,2014,4,Captain America: The Winter Soldier2014,Captain America: The Winter Soldier,BV,,,,,89746958,1.5279232823529412,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
151,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,2014,7,Dawn of the Planet of the Apes2014,Dawn of the Planet of the Apes,Fox,Peter Chernin,Dawn of the Planet of the Apes,"Action,Adventure,Drama",tt2103281,38545589,1.2267387588235295,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
153,2012-06-01,Snow White and the Huntsman,170000000,155136755,2012,6,Snow White and the Huntsman2012,Snow White and the Huntsman,Uni.,Joe Roth,Snow White and the Huntsman,"Action,Adventure,Drama",tt1735898,-14863245,0.9125691470588235,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
159,2015-05-22,Tomorrowland,170000000,93436322,2015,5,Tomorrowland2015,Tomorrowland,BV,Jeffrey Chernov,Tomorrowland,"Action,Adventure,Family",tt1964418,-76563678,0.5496254235294118,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
164,2016-05-27,Alice Through the Looking Glass,170000000,77042381,2016,5,Alice Through the Looking Glass2016,Alice Through the Looking Glass,BV,Jennifer Todd,Alice Through the Looking Glass,"Adventure,Family,Fantasy",tt2567026,-92957619,0.45319047647058824,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
167,2010-05-21,Shrek Forever After,165000000,238736787,2010,5,Shrek Forever After2010,Shrek Forever After,P/DW,,,,,73736787,1.4468896181818183,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
168,2016-11-04,Doctor Strange,165000000,232641920,2016,11,Doctor Strange2016,Doctor Strange,BV,Kevin Feige,Doctor Strange,"Action,Adventure,Fantasy",tt1211837,67641920,1.4099510303030303,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
169,2014-11-07,Big Hero 6,165000000,222527828,2014,11,Big Hero 62014,Big Hero 6,BV,,,,,57527828,1.348653503030303,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
170,2010-03-26,How to Train Your Dragon,165000000,217581232,2010,3,How to Train Your Dragon2010,How to Train Your Dragon,P/DW,,,,,52581232,1.3186741333333334,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
171,2012-11-02,Wreck-It Ralph,165000000,189412677,2012,11,Wreck-It Ralph2012,Wreck-It Ralph,BV,,,,,24412677,1.1479556181818182,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
172,2014-11-05,Interstellar,165000000,188017894,2014,11,Interstellar2014,Interstellar,Par.,Lynda Obst,Interstellar,"Adventure,Drama,Sci-Fi",tt0816692,23017894,1.1395023878787878,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
174,2016-06-24,Independence Day: Resurgence,165000000,103144286,2016,6,Independence Day: Resurgence2016,Independence Day: Resurgence,Fox,,,,,-61855714,0.6251168848484848,4,4.287289611143355,66000000.0,410600000.0,22911648.3942029
175,2011-07-29,Cowboys and Aliens,163000000,100368560,2011,7,Cowboys and Aliens2011,,,,,,,-62631440,0.615758036809816,4,4.281485780615206,66000000.0,410600000.0,22911648.3942029
176,2017-03-17,Beauty and the Beast,160000000,504014165,2017,3,Beauty and the Beast2017,,,,,,,344014165,3.15008853125,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
177,2018-12-21,Aquaman,160000000,335061807,2018,12,Aquaman2018,Aquaman,WB,,,,,175061807,2.09413629375,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
179,2010-07-16,Inception,160000000,292576195,2010,7,Inception2010,Inception,WB,Emma Thomas,Inception,"Action,Adventure,Sci-Fi",tt1375666,132576195,1.82860121875,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
180,2015-11-20,The Hunger Games: Mockingjay: Part 2,160000000,281723902,2015,11,The Hunger Games: Mockingjay - Part 22015,The Hunger Games: Mockingjay - Part 2,LGF,Jon Kilik,The Hunger Games: Mockingjay: Part 2,"Action,Adventure,Sci-Fi",tt1951266,121723902,1.7607743875,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
182,2013-05-24,Fast and Furious 6,160000000,238679850,2013,5,Fast and Furious 62013,,,,,,,78679850,1.4917490625,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
183,2014-05-16,Godzilla,160000000,200676069,2014,5,Godzilla2014,,,,,,,40676069,1.25422543125,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
184,2011-06-03,X-Men: First Class,160000000,146408305,2011,6,X-Men: First Class2011,X-Men: First Class,Fox,,,,,-13591695,0.91505190625,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
186,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,2010,7,The Sorcerer's Apprentice2010,The Sorcerer's Apprentice,BV,,,,,-96849009,0.39469369375,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
188,2016-06-10,Warcraft,160000000,47225655,2016,6,Warcraft2016,Warcraft,Uni.,Charles Roven,Warcraft,"Action,Adventure,Fantasy",tt0803096,-112774345,0.29516034375,4,4.272780034822983,66000000.0,410600000.0,22911648.3942029
192,2016-09-30,Deepwater Horizon,156000000,61433527,2016,9,Deepwater Horizon2016,Deepwater Horizon,LG/S,,,,,-94566473,0.39380466025641025,4,4.261172373766686,66000000.0,410600000.0,22911648.3942029
193,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,2010,12,The Chronicles of Narnia: The Voyage of the Dawn Treader2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Andrew Adamson,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",tt0980970,-50613050,0.673464193548387,4,4.258270458502611,66000000.0,410600000.0,22911648.3942029
194,2015-07-01,Terminator: Genisys,155000000,89760956,2015,7,Terminator: Genisys2015,Terminator: Genisys,Par.,,,,,-65239044,0.5791029419354838,4,4.258270458502611,66000000.0,410600000.0,22911648.3942029
195,2018-03-23,Pacific Rim: Uprising,155000000,59874525,2018,3,Pacific Rim: Uprising2018,,,Cale Boyter,Pacific Rim: Uprising,"Action,Adventure,Sci-Fi",tt2557478,-95125475,0.38628725806451614,4,4.258270458502611,66000000.0,410600000.0,22911648.3942029
197,2017-07-14,War for the Planet of the Apes,152000000,146880162,2017,7,War for the Planet of the Apes2017,War for the Planet of the Apes,Fox,Peter Chernin,War for the Planet of the Apes,"Action,Adventure,Drama",tt3450958,-5119838,0.9663168552631579,4,4.249564712710389,66000000.0,410600000.0,22911648.3942029
200,2017-06-02,Wonder Woman,150000000,412563408,2017,6,Wonder Woman2017,Wonder Woman,WB,,,,,262563408,2.75042272,4,4.24376088218224,66000000.0,410600000.0,22911648.3942029
201,2013-11-22,Frozen,150000000,400738009,2013,11,Frozen2013,Frozen,BV,Peter Del Vecho,Frozen,"Adventure,Animation,Comedy",tt2294629,250738009,2.671586726666667,4,4.24376088218224,66000000.0,410600000.0,22911648.3942029
202,2016-03-04,Zootopia,150000000,341268248,2016,3,Zootopia2016,Zootopia,BV,,,,,191268248,2.275121653333333,4,4.24376088218224,66000000.0,410600000.0,22911648.3942029
207,2016-11-23,Moana,150000000,248757044,2016,11,Moana2016,Moana,BV,,,,,98757044,1.6583802933333334,4,4.24376088218224,66000000.0,410600000.0,22911648.3942029
