,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,898,2011-01-14,The Dilemma,70000000,48475290,2011,1,The Dilemma2011,The Dilemma,Uni.,Brian Grazer,The Dilemma,"Comedy,Drama",tt1578275,-21524710,0.6925041428571429,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
HighProducer,936,2010-06-30,The Twilight Saga: Eclipse,68000000,300531751,2010,6,The Twilight Saga: Eclipse2010,The Twilight Saga: Eclipse,Sum.,Wyck Godfrey,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",tt1325004,232531751,4.419584573529412,4,4.005803830528149,66000000.0,410600000.0,22911648.3942029
HighProducer,986,2012-05-16,The Dictator,65000000,59650222,2012,5,The Dictator2012,The Dictator,Par.,Scott Rudin,The Dictator,Comedy,tt1645170,-5349778,0.917695723076923,3,4.0,31000000.0,65000000.0,11378705.229850747
HighProducer,993,2012-11-21,Red Dawn,65000000,44806783,2012,11,Red Dawn2012,,,Beau Flynn,Red Dawn,"Action,Sci-Fi,Thriller",tt1234719,-20193217,0.6893351230769231,3,4.0,31000000.0,65000000.0,11378705.229850747
HighProducer,995,2015-09-18,Everest,65000000,43482270,2015,9,Everest2015,,,Eric Fellner,Everest,"Action,Adventure,Biography",tt2719848,-21517730,0.668958,3,4.0,31000000.0,65000000.0,11378705.229850747
HighProducer,1249,2013-10-11,Captain Phillips,55000000,107136417,2013,10,Captain Phillips2013,Captain Phillips,Sony,Michael De Luca,Captain Phillips,"Biography,Drama,Thriller",tt1535109,52136417,1.9479348545454545,3,3.7058823529411766,31000000.0,65000000.0,11378705.229850747
HighProducer,1298,2018-02-23,Annihilation,55000000,32732301,2018,2,Annihilation2018,,,Scott Rudin,Annihilation,"Adventure,Drama,Horror",tt2798920,-22267699,0.5951327454545454,3,3.7058823529411766,31000000.0,65000000.0,11378705.229850747
HighProducer,1345,2011-08-05,The Change-Up,52000000,37243418,2011,8,The Change-Up2011,The Change-Up,Uni.,Neal H. Moritz,The Change-Up,"Comedy,Fantasy",tt1488555,-14756582,0.7162195769230769,3,3.6176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,1368,2016-06-17,Central Intelligence,50000000,127440871,2016,6,Central Intelligence2016,Central Intelligence,WB (NL),Scott Stuber,Central Intelligence,"Action,Comedy,Crime",tt1489889,77440871,2.54881742,3,3.5588235294117645,31000000.0,65000000.0,11378705.229850747
HighProducer,1371,2013-12-18,Anchorman 2: The Legend Continues,50000000,127352707,2013,12,Anchorman 2: The Legend Continues2013,Anchorman 2: The Legend Continues,Par.,Judd Apatow,Anchorman 2: The Legend Continues,Comedy,tt1229340,77352707,2.54705414,3,3.5588235294117645,31000000.0,65000000.0,11378705.229850747
